CountryCode,CountryText,NationalityText,,
-,-,-,,
ABW,Aruba,of Aruba,,
AFG,Afghanistan,Afghan,,
AIA,Anguilla,Anguilla,,
ALB,Albania,Albanian,,
ALG,Algeria,Algerian,,
AND,Andorra,Andorran,,
ANG,Angola,Angolan,,
ANT,Antigua and Barbuda,Antiguan,,
ARE,Egypt,Egyptian,,
ARG,Argentina,Argentine,,
ARM,Armenia,Armenian,,
ASM,American Samoa,Samoan,,
ATA,Antarctica,Antarctica,,
ATF,French Southern Territories,French Southern Territories,,
AUL,Australia,Australian,,
AUS,Austria,Austrian,,
AZE,Azerbaijan,Azerbaijani,,
BAH,Bahrain,Bahraini,,
BAR,Barbados,Barbadian,,
BDI,Burundi,Burundian,,
BEL,Belgium,Belgian,,
BEN,Benin,Beninese,,
BER,Bermuda,Bermudian,,
BES,"Bonaire, Saint Eustatius and Saba","of Bonaire, Saint Eustatius and Saba",,
BGD,Bangladesh,Bangladeshi,,
BHS,Bahamas,Bahamian,,
BHU,Bhutan,Bhutanese,,
BKF,Burkina Faso,Burkinabe,,
BLR,Belarus,Belarusian,,
BOL,"Bolivia, Plurinational State of",Bolivian,,
BOT,Botswana,of Botswana,,
BRA,Brazil,Brazilian,,
BRU,Brunei Darussalam,of Brunei Darussalam,,
BSN,Bosnia and Herzegovina,Bosnian,,
BUL,Bulgaria,Bulgarian,,
BVT,Bouvet Island,Bouvet Island,,
BZE,Belize,Belizean,,
CAM,Cambodia,Cambodian,,
CAN,Canada,Canadian,,
CAR,Central African Republic,Central African,,
CAY,Cayman Islands,Cayman Islander,,
CCK,Cocos (Keeling) Island,Cocos (Keeling) Islander,,
CHD,Chad,Chadian,,
CHI,China,Chinese,,
CHL,Chile,Chilean,,
CMR,Cameroon,Cameroonian,,
COB,"Congo, Republic of the",Congolese (Brazzaville),,
COD,Democratic Republic of the Congo,Congolese (DRC),,
COI,Comoros,Comorian,,
COK,Cook Islands,of Cook Islands,,
COL,Colombia,Colombian,,
COS,Costa Rica,Costa Rican,,
CUB,Cuba,Cuban,,
CUW,Curaçao,of Curaçao,,
CVI,Cape Verde,Cape Verdean,,
CXR,Christmas Island,Christmas Islander,,
CYP,Cyprus,Cypriot,,
CZE,Czech Republic,Czech,,
DEN,Denmark,Danish,,
DJB,Djibouti,Djiboutian,,
DMA,Dominica,Dominican,,
DOM,Dominican Republic,Dominican Republican,,
DUB,Dubai,Dubai,,
ECU,Ecuador,Ecuadorian,,
EGU,Equatorial Guinea,of Equatorial Guinea,,
ERT,Eritrea,Eritrean,,
EST,Estonia,Estonian,,
ETH,Ethiopia,Ethiopian,,
FGU,French Guiana,Guiana,,
FIJ,Fiji,Fiji Islander,,
FIN,Finland,Finnish,,
FLK,Falkland Islands (Malvinas),Falkland Islander (Malvinas),,
FNC,French New Caledonia,French New Caledonian,,
FPO,French Polynesia,French (Polynesian),,
FRA,France,French,,
FRO,Faroe Islands,Faroe Islander,,
FSM,"Micronesia, Federated States of",Micronesia,,
GAB,Gabon,Gabonese,,
GAM,Gambia,Gambian,,
GBR,United Kingdom of Great Britain and North. Ireland,British,,
GEO,Georgia,Georgian,,
GFR,Germany,German,,
GHA,Ghana,Ghanaian,,
GIB,Gibraltar,Gibraltar,,
GNB,Guinea-Bissau,Guinea-Bissauan,,
GRE,Greece,Greek,,
GRL,Greenland,Greenlander,,
GRN,Grenada,Grenadian,,
GUA,Guatemala,Guatemalan,,
GUI,Guinea,Guinean,,
GUM,Guam,USA (Guam),,
GUY,Guyana,Guyanese,,
HAI,Haiti,Haitian,,
HKG,"Hong Kong, (SAR, China)",Chinese (Hong Kong),,
HMD,Heard Island & Mcdonald Island,Heard Island & Mcdonald Islander,,
HON,Honduras,Honduran,,
HRV,Croatia,Croatian,,
HUN,Hungary,Hungarian,,
ICE,Iceland,Icelander,,
ICO,Côte d'Ivoire,Ivorian,,
IND,India,Indian,,
INS,Indonesia,Indonesia,,
IOT,British Indian Ocean Territory,British Indian Ocean Territory,,
IRE,Ireland,Irish,,
IRN,"Iran, Islamic Republic of",Iranian,,
IRQ,Iraq,Iraqi,,
ISR,Israel,Israeli,,
ITA,Italy,Italian,,
JAM,Jamaica,Jamaican,,
JOR,Jordan,Jordanian,,
JPN,Japan,Japanese,,
KAZ,Kazakhstan,Kazakh,,
KEN,Kenya,Kenyan,,
KGZ,Kyrgyzstan,Kyrgyz,,
KIR,Kiribati,of Kiribati,,
KNA,Saint Kitts and Nevis,of Saint Kitts and Nevis Island,,
KOR,Republic of Korea,South Korean,,
KRN,"Democratic People's Republic of Korea,",North Korean,,
KUR,Kurdistan,Kurd,,
KUW,Kuwait,Kuwaiti,,
LAO,Lao People's Democratic Republic,Lao,,
LBR,Liberia,Liberian,,
LBY,Libyan Arab Jamahiriya,Libyan,,
